threshold,precision,recall,f1,accuracy,flagged,flag_rate,tp,fp,fn,tn,model,total_cost_pence,total_cost_gbp
0.11,0.2798801049082053,0.7537840565085772,0.4081967213114754,0.6431630971993411,2669,0.4397034596375618,747,1922,244,3157,lightgbm (cpu),13967348.8,139673.488
0.12,0.2857142857142857,0.722502522704339,0.40949385187303405,0.6598023064250412,2506,0.4128500823723229,716,1790,275,3289,lightgbm (cpu),13960924.399999999,139609.24399999998
0.13,0.2967687074829932,0.7043390514631686,0.4175889919234221,0.6792421746293246,2352,0.3874794069192751,698,1654,293,3425,lightgbm (cpu),13897661.2,138976.612
0.14,0.3069620253164557,0.6851664984863775,0.4239775210739931,0.6960461285008237,2212,0.3644151565074135,679,1533,312,3546,lightgbm (cpu),13853506.6,138535.066
0.15,0.3156881616939365,0.6619576185671039,0.4275008145975888,0.7105436573311368,2078,0.342339373970346,656,1422,335,3657,lightgbm (cpu),13835636.399999999,138356.36399999997
0.16,0.3223684210526316,0.6427850655903128,0.42938995618469833,0.7210873146622735,1976,0.3255354200988468,637,1339,354,3740,lightgbm (cpu),13829595.8,138295.958
0.17,0.3311965811965812,0.6256306760847629,0.43311212015368494,0.7326194398682043,1872,0.3084019769357496,620,1252,371,3827,lightgbm (cpu),13811416.0,138114.16
0.18,0.33784545967287083,0.6044399596367306,0.43342981186685964,0.742009884678748,1773,0.2920922570016474,599,1174,392,3905,lightgbm (cpu),13818517.6,138185.176
0.19,0.34533648170011805,0.5903128153380424,0.43575418994413406,0.7504118616144976,1694,0.2790774299835255,585,1109,406,3970,lightgbm (cpu),13810213.0,138102.13
0.2,0.35143570536828966,0.5681130171543896,0.43424604704974934,0.7583196046128501,1602,0.2639209225700165,563,1039,428,4040,lightgbm (cpu),13829402.2,138294.022
0.21,0.3602115003304693,0.549949545913219,0.4353035143769968,0.7670510708401977,1513,0.24925864909390444,545,968,446,4111,lightgbm (cpu),13831334.0,138313.34
0.22,0.36689655172413793,0.5368314833501514,0.4358869315854158,0.7731466227347611,1450,0.23887973640856672,532,918,459,4161,lightgbm (cpu),13834010.8,138340.108
0.23,0.37380426784400295,0.5126135216952573,0.4323404255319149,0.7802306425041187,1359,0.22388797364085666,508,851,483,4228,lightgbm (cpu),13864336.2,138643.362
0.24,0.38574748257164987,0.5025227043390514,0.4364592462751972,0.7881383855024712,1291,0.2126853377265239,498,793,493,4286,lightgbm (cpu),13846798.2,138467.982
0.25,0.3939144736842105,0.48335015136226034,0.43407340280924334,0.7942339373970346,1216,0.20032948929159802,479,737,512,4342,lightgbm (cpu),13867838.6,138678.386
0.26,0.3993025283347864,0.46215943491422806,0.4284377923292797,0.7986820428336079,1147,0.18896210873146624,458,689,533,4390,lightgbm (cpu),13905030.2,139050.302
0.27,0.4018264840182648,0.4439959636730575,0.4218600191754554,0.8013179571663921,1095,0.18039538714991762,440,655,551,4424,lightgbm (cpu),13944073.0,139440.73
0.28,0.4127290260366442,0.4318869828456105,0.42209072978303747,0.8069192751235584,1037,0.17084019769357495,428,609,563,4470,lightgbm (cpu),13946698.2,139466.982
0.29,0.41513292433537835,0.40968718466195764,0.41239207719654647,0.8093904448105437,978,0.16112026359143328,406,572,585,4507,lightgbm (cpu),13998986.399999999,139989.86399999997
